transaction date,house age,distance to the nearest MRT station,GarageArea,number of convenience stores,latitude,longitude,Neighborhood,GarageType,house price of unit area
2013.167,16.2,289.3248,0,5,24.98203,121.54348,Edwards,NA,46.2
2013,13.6,4082.015,440,0,24.94155,121.50381,NAmes,Attchd,15.9
2013.5,16.8,4066.587,308,0,24.94297,121.50342,Timber,Attchd,18.2
2013.417,36.1,519.4617,504,5,24.96305,121.53758,SawyerW,Attchd,34.7
2012.75,34.4,512.7871,308,6,24.98748,121.54301,CollgCr,Detchd,34.1
2013.583,2.7,533.4762,300,4,24.97445,121.54765,NAmes,Attchd,53.9
2013.083,36.6,488.8193,576,8,24.97015,121.54494,NridgHt,Attchd,38.3
2013.417,21.7,463.9623,670,9,24.9703,121.54458,Mitchel,Attchd,42
2013.583,35.9,640.7391,826,3,24.97563,121.53715,Somerst,Attchd,61.5
2013.417,24.2,4605.749,0,0,24.94684,121.49578,OldTown,NA,13.4
2012.667,29.4,4510.359,386,1,24.94925,121.49542,Sawyer,Attchd,13.2
2013.417,21.7,512.5487,388,4,24.974,121.53842,Gilbert,Attchd,44.2
2013.083,31.3,1758.406,528,1,24.95402,121.55282,BrkSide,Detchd,20.7
2013.583,32.1,1438.579,516,3,24.97419,121.5175,IDOTRR,CarPort,27
2013.083,13.3,492.2313,894,5,24.96515,121.53737,Veenker,Attchd,38.9
2013.083,16.1,289.3248,572,5,24.98203,121.54348,NAmes,Detchd,51.7
2012.833,31.7,1160.632,576,0,24.94968,121.53009,NAmes,Attchd,13.7
2013.417,33.6,371.2495,480,8,24.97254,121.54059,Somerst,Attchd,41.9
2012.917,3.5,56.47425,565,7,24.95744,121.53711,CollgCr,Attchd,53.5
2013.5,30.3,4510.359,641,1,24.94925,121.49542,StoneBr,BuiltIn,22.6
2013.083,13.3,336.0532,352,5,24.95776,121.53438,CollgCr,Detchd,42.4
2013.417,11,1931.207,576,2,24.96365,121.51471,SawyerW,Detchd,21.3
2013.5,5.3,259.6607,288,6,24.97585,121.54516,IDOTRR,Detchd,63.2
2012.917,17.2,2175.877,484,3,24.96303,121.51254,NridgHt,Attchd,27.7
2013.583,2.6,533.4762,480,4,24.97445,121.54765,OldTown,Detchd,55
2013.333,17.5,995.7554,645,0,24.96305,121.54915,CollgCr,Attchd,25.3
2013.417,40.1,123.7429,852,8,24.97635,121.54329,NridgHt,BuiltIn,44.3
2013,1,193.5845,576,6,24.96571,121.54089,NAmes,Attchd,50.7
2013.5,8.5,104.8101,558,5,24.96674,121.54067,CollgCr,Attchd,56.8
2013.417,30.4,464.223,220,6,24.97964,121.53805,OldTown,Attchd,36.2
2012.833,12.5,561.9845,667,5,24.98746,121.54391,ClearCr,Attchd,42
2013.583,6.6,90.45606,516,9,24.97433,121.5431,NAmes,Attchd,59
2013.083,35.5,640.7391,360,3,24.97563,121.53715,Mitchel,Detchd,40.8
2013.583,32.5,424.5442,427,8,24.97587,121.53913,Gilbert,Attchd,36.3
2013.167,13.8,4082.015,490,0,24.94155,121.50381,NAmes,Attchd,20
2012.917,6.8,379.5575,379,10,24.98343,121.53762,OldTown,Detchd,54.4
2013.5,12.3,1360.139,297,1,24.95204,121.54842,MeadowV,BuiltIn,29.5
2013.583,35.9,616.4004,283,3,24.97723,121.53767,NAmes,Detchd,36.8
2012.833,20.5,2185.128,240,3,24.96322,121.51237,BrkSide,Detchd,25.6
2012.917,38.2,552.4371,0,2,24.97598,121.53381,Sawyer,NA,29.8
2013,18,1414.837,440,1,24.95182,121.54887,OldTown,Detchd,26.5
2013.5,11.8,533.4762,509,4,24.97445,121.54765,NAmes,Attchd,40.3
2013,30.8,377.7956,405,6,24.96427,121.53964,Mitchel,Attchd,36.8
2013.083,13.2,150.9347,758,7,24.96725,121.54252,Somerst,Attchd,48.1
2012.917,25.3,2707.392,461,3,24.96056,121.50831,NAmes,Detchd,17.7
2013.083,15.1,383.2805,400,7,24.96735,121.54464,Gilbert,BuiltIn,43.7
2012.75,0,338.9679,462,9,24.96853,121.54413,NoRidge,Attchd,50.8
2012.833,1.8,1455.798,400,1,24.9512,121.549,Gilbert,BuiltIn,27
2013.583,16.9,4066.587,528,0,24.94297,121.50342,Somerst,Detchd,18.3
2012.917,8.9,1406.43,0,0,24.98573,121.52758,IDOTRR,NA,48
2013.5,23,3947.945,0,0,24.94783,121.50243,CollgCr,NA,25.3
2012.833,0,274.0144,420,1,24.9748,121.53059,NAmes,Detchd,45.4
2013.25,9.1,1402.016,480,0,24.98569,121.5276,NAmes,Attchd,43.2
2012.917,20.6,2469.645,432,4,24.96108,121.51046,Crawfor,Detchd,21.8
2012.917,31.9,1146.329,506,0,24.9492,121.53076,OldTown,Detchd,16.1
2012.917,40.9,167.5989,684,5,24.9663,121.54026,CollgCr,Attchd,41
2012.917,8,104.8101,420,5,24.96674,121.54067,Gilbert,BuiltIn,51.8
2013.417,6.4,90.45606,472,9,24.97433,121.5431,CollgCr,Attchd,59.5
2013.083,28.4,617.4424,432,3,24.97746,121.53299,Edwards,Attchd,34.6
2013.417,16.4,289.3248,366,5,24.98203,121.54348,Edwards,Basment,51
2013.417,6.4,90.45606,0,9,24.97433,121.5431,NAmes,NA,62.2
2013.5,17.5,964.7496,480,4,24.98872,121.53411,NWAmes,Attchd,38.2
2012.833,12.7,170.1289,476,1,24.97371,121.52984,SawyerW,Attchd,32.9
2013.083,1.1,193.5845,410,6,24.96571,121.54089,SawyerW,Attchd,54.4
2012.75,0,208.3905,740,6,24.95618,121.53844,CollgCr,Attchd,45.7
2012.667,32.7,392.4459,240,6,24.96398,121.5425,IDOTRR,Detchd,30.5
2012.833,0,292.9978,648,6,24.97744,121.54458,Somerst,Attchd,71
2013.083,17.2,189.5181,273,8,24.97707,121.54308,OldTown,Detchd,47.1
2013.333,12.2,1360.139,250,1,24.95204,121.54842,OldTown,Detchd,26.6
2013.417,31.4,592.5006,0,2,24.9726,121.53561,IDOTRR,NA,34.1
2013.583,4,2147.376,546,3,24.96299,121.51284,NWAmes,Attchd,28.4
2013.083,8.1,104.8101,325,5,24.96674,121.54067,Edwards,Attchd,51.6
2013.583,33.3,196.6172,400,7,24.97701,121.54224,Gilbert,BuiltIn,39.4
2013.417,9.9,2102.427,792,3,24.96044,121.51462,CollgCr,BuiltIn,23.1
2013.333,14.8,393.2606,450,6,24.96172,121.53812,Crawfor,Basment,7.6
2012.667,30.6,143.8383,180,8,24.98155,121.54142,Crawfor,Detchd,53.3
2013.083,20.6,737.9161,440,2,24.98092,121.54739,Somerst,Detchd,46.4
2013,30.9,6396.283,288,1,24.94375,121.47883,Sawyer,Attchd,12.2
2013,13.6,4197.349,430,0,24.93885,121.50383,Edwards,Attchd,13
2013.5,25.3,1583.722,594,3,24.96622,121.51709,SawyerW,Attchd,30.6
2013.5,16.6,289.3248,390,5,24.98203,121.54348,CollgCr,Attchd,59.6
2013.167,13.3,492.2313,540,5,24.96515,121.53737,ClearCr,Attchd,31.3
2013.5,13.6,492.2313,264,5,24.96515,121.53737,IDOTRR,Detchd,48
2013.25,31.5,414.9476,288,4,24.98199,121.54464,NAmes,Attchd,32.5
2013.417,0,185.4296,530,0,24.9711,121.5317,SawyerW,Attchd,45.5
2012.917,9.9,279.1726,435,7,24.97528,121.54541,NWAmes,Attchd,57.4
2013.167,1.1,193.5845,0,6,24.96571,121.54089,IDOTRR,NA,48.6
2013.083,38.6,804.6897,440,4,24.97838,121.53477,NPkVill,Attchd,62.9
2013.25,3.8,383.8624,0,5,24.98085,121.54391,OldTown,NA,55
2013.083,41.3,124.9912,453,6,24.96674,121.54039,NAmes,Attchd,60.7
2013.417,38.5,216.8329,750,7,24.98086,121.54162,NAmes,2Types,41
2013.25,29.6,535.527,487,8,24.98092,121.53653,NAmes,Attchd,37.5
2013.5,4,2147.376,390,3,24.96299,121.51284,Gilbert,BuiltIn,30.7
2013.167,26.6,482.7581,624,5,24.97433,121.53863,NAmes,Detchd,37.5
2012.833,18,373.3937,471,8,24.9866,121.54082,Timber,Attchd,39.5
2012.667,33.4,186.9686,440,6,24.96604,121.54211,Sawyer,Attchd,42.2
2012.917,18.9,1009.235,530,0,24.96357,121.54951,NWAmes,Attchd,20.8
2012.75,11.4,390.5684,318,5,24.97937,121.54245,NAmes,Attchd,46.8
2013.5,13.6,319.0708,766,6,24.96495,121.54277,Mitchel,2Types,47.4
2013.167,10,942.4664,660,0,24.97843,121.52406,CollgCr,Attchd,43.5
2012.667,12.9,492.2313,470,5,24.96515,121.53737,CollgCr,Attchd,42.5
2013.25,16.2,289.3248,0,5,24.98203,121.54348,NAmes,NA,51.4
2013.333,5.1,1559.827,660,3,24.97213,121.51627,CollgCr,Attchd,28.9
2013.417,19.8,640.6071,720,5,24.97017,121.54647,NAmes,Detchd,37.5
2013.5,13.6,492.2313,577,5,24.96515,121.53737,CollgCr,Attchd,40.1
2013.083,11.9,1360.139,504,1,24.95204,121.54842,Sawyer,Detchd,28.4
2012.917,2.1,451.2438,380,5,24.97563,121.54694,Edwards,Detchd,45.5
2012.75,0,185.4296,180,0,24.9711,121.5317,BrkSide,Detchd,52.2
2012.75,3.2,489.8821,434,8,24.97017,121.54494,Gilbert,BuiltIn,43.2
2013.5,16.4,3780.59,0,0,24.93293,121.51203,SawyerW,NA,45.1
2012.667,34.9,179.4538,240,8,24.97349,121.54245,BrkSide,Detchd,39.7
2013.25,35.8,170.7311,440,7,24.96719,121.54269,CollgCr,Attchd,48.5
2013.5,4.9,387.7721,866,9,24.98118,121.53788,NridgHt,Attchd,44.7
2013.333,12,1360.139,495,1,24.95204,121.54842,NWAmes,Attchd,28.9
2013.25,6.5,376.1709,564,6,24.95418,121.53713,ClearCr,Attchd,40.9
2013.5,16.9,4066.587,312,0,24.94297,121.50342,OldTown,Detchd,20.7
2013.167,13.8,4082.015,0,0,24.94155,121.50381,Edwards,NA,15.6
2013.583,30.7,1264.73,625,0,24.94883,121.52954,NAmes,Detchd,18.3
2013.25,16.1,815.9314,680,4,24.97886,121.53464,Timber,BuiltIn,35.6
2013,11.6,390.5684,678,5,24.97937,121.54245,Somerst,Attchd,39.4
2012.667,15.5,815.9314,576,4,24.97886,121.53464,Gilbert,Attchd,37.4
2012.917,3.5,49.66105,516,8,24.95836,121.53756,Veenker,Attchd,57.8
2013.417,19.2,616.4004,726,3,24.97723,121.53767,NridgHt,BuiltIn,39.6
2012.75,16,4066.587,532,0,24.94297,121.50342,NridgHt,Attchd,11.6
2013.5,8.5,104.8101,0,5,24.96674,121.54067,OldTown,NA,55.5
2012.833,0,185.4296,216,0,24.9711,121.5317,OldTown,Detchd,55.2
2012.917,13.7,1236.564,0,1,24.97694,121.55391,Edwards,NA,30.6
2013.417,0,292.9978,303,6,24.97744,121.54458,ClearCr,Attchd,73.6
2013.417,28.2,330.0854,789,8,24.97408,121.54011,NridgHt,Attchd,43.4
2013.083,27.6,515.1122,440,5,24.96299,121.5432,Gilbert,Attchd,37.4
2013.417,8.4,1962.628,511,1,24.95468,121.55481,Timber,Attchd,23.5
2013.333,24,4527.687,660,0,24.94741,121.49628,OldTown,Detchd,14.4
2013.083,3.6,383.8624,528,5,24.98085,121.54391,NAmes,Attchd,58.8
2013.583,6.6,90.45606,504,9,24.97433,121.5431,StoneBr,Attchd,58.1
2013.083,41.3,401.8807,504,4,24.98326,121.5446,NAmes,Attchd,35.1
2013.417,4.3,432.0385,616,7,24.9805,121.53778,Timber,Attchd,45.2
2013.083,30.2,472.1745,576,3,24.97005,121.53758,Edwards,Attchd,36.5
2012.833,13.9,4573.779,521,0,24.94867,121.49507,ClearCr,Attchd,19.2
2013.083,33,181.0766,451,9,24.97697,121.54262,Sawyer,Attchd,42
2013.5,13.1,1144.436,1166,4,24.99176,121.53456,StoneBr,Attchd,36.7
2013.083,14,438.8513,480,1,24.97493,121.5273,OldTown,Detchd,42.6
2012.667,26.9,4449.27,440,0,24.94898,121.49621,Somerst,Detchd,15.5
2013.167,11.6,201.8939,216,8,24.98489,121.54121,Crawfor,Detchd,55.9
2013.5,13.5,2147.376,252,3,24.96299,121.51284,Edwards,Attchd,23.6
2013.5,17,4082.015,484,0,24.94155,121.50381,OldTown,Detchd,18.8
2012.75,14.1,2615.465,576,0,24.95495,121.56174,BrkSide,Attchd,21.8
2012.75,31.4,1447.286,840,3,24.97285,121.5173,OldTown,Detchd,21.5
2013.167,20.9,2185.128,497,3,24.96322,121.51237,Mitchel,Attchd,25.7
2013,8.9,3078.176,180,0,24.95464,121.56627,OldTown,Detchd,22
2012.917,34.8,190.0392,528,8,24.97707,121.54312,SawyerW,Detchd,44.3
2012.917,16.3,4066.587,682,0,24.94297,121.50342,StoneBr,Attchd,20.5
2013.5,35.3,616.5735,440,8,24.97945,121.53642,Crawfor,Detchd,42.3
2013.167,13.2,750.0704,484,2,24.97371,121.54951,NAmes,Attchd,37.8
2013.167,43.8,57.58945,666,7,24.9675,121.54069,CollgCr,Attchd,42.7
2013.417,9.7,421.479,380,5,24.98246,121.54477,Edwards,Detchd,49.3
2013.5,15.2,3771.895,352,0,24.93363,121.51158,CollgCr,Detchd,29.3
2013.333,15.2,461.1016,440,5,24.95425,121.5399,NPkVill,Attchd,34.6
2013,22.8,707.9067,786,2,24.981,121.54713,Somerst,Attchd,36.6
2013.25,34.4,126.7286,795,8,24.96881,121.54089,NAmes,Detchd,48.2
2013.083,34,157.6052,0,7,24.96628,121.54196,OldTown,NA,39.1
2013.417,18.2,451.6419,856,8,24.96945,121.5449,NridgHt,Attchd,31.6
2013.417,17.4,995.7554,440,0,24.96305,121.54915,Edwards,Attchd,25.5
2013.417,13.1,561.9845,473,5,24.98746,121.54391,Mitchel,Detchd,45.9
2012.917,38.3,642.6985,398,3,24.97559,121.53713,OldTown,Attchd,31.5
2012.667,15.6,289.3248,420,5,24.98203,121.54348,CollgCr,Attchd,46.1
2013,18,1414.837,240,1,24.95182,121.54887,OldTown,Detchd,26.6
2013.083,12.8,1449.722,500,3,24.97289,121.51728,Gilbert,Attchd,21.4
2013.25,22.2,379.5575,349,10,24.98343,121.53762,Sawyer,Attchd,44
2013.083,38.5,665.0636,312,3,24.97503,121.53692,NAmes,Attchd,34.2
2012.75,11.5,1360.139,454,1,24.95204,121.54842,SawyerW,Attchd,26.2
2012.833,34.8,175.6294,504,8,24.97347,121.54271,NAmes,Attchd,40.9
2013.5,5.2,390.5684,0,5,24.97937,121.54245,Edwards,NA,52.2
2013.083,0,274.0144,460,1,24.9748,121.53059,Edwards,Attchd,43.5
2013.333,17.6,1805.665,644,2,24.98672,121.52091,Somerst,Attchd,31.1
2013.083,6.2,90.45606,576,9,24.97433,121.5431,CollgCr,Attchd,58
2013.583,18.1,1783.18,299,3,24.96731,121.51486,CollgCr,Attchd,20.9
2013.333,19.2,383.7129,447,8,24.972,121.54477,NAmes,Attchd,48.1
2013.25,37.8,590.9292,484,1,24.97153,121.53559,CollgCr,Attchd,39.7
2012.917,28,372.6242,210,6,24.97838,121.54119,OldTown,Detchd,40.8
2013.417,13.6,492.2313,431,5,24.96515,121.53737,Crawfor,Attchd,43.8
2012.75,29.3,529.7771,438,8,24.98102,121.53655,Blmngtn,Attchd,40.2
2013.333,37.2,186.5101,675,9,24.97703,121.54265,CollgCr,Attchd,78.3
2013.333,9,1402.016,390,0,24.98569,121.5276,Gilbert,BuiltIn,38.5
2013.583,30.6,431.1114,434,10,24.98123,121.53743,NWAmes,Attchd,48.5
2013.25,9.1,1402.016,576,0,24.98569,121.5276,NAmes,Detchd,42.3
2013.333,34.5,324.9419,968,6,24.97814,121.5417,NridgHt,Attchd,46
2013.25,1.1,193.5845,280,6,24.96571,121.54089,BrDale,Detchd,49
2013,16.5,4082.015,721,0,24.94155,121.50381,NoRidge,Attchd,12.8
2012.917,32.4,265.0609,280,8,24.98059,121.53986,BrDale,Detchd,40.2
2013.417,11.9,3171.329,336,0,25.00115,121.51776,Sawyer,Detchd,46.6
2013.583,31,1156.412,430,0,24.9489,121.53095,Blmngtn,Attchd,19
2013.5,4,2147.376,312,3,24.96299,121.51284,NAmes,Attchd,33.4
2012.833,16.2,4074.736,810,0,24.94235,121.50357,NoRidge,Attchd,14.7
2012.917,27.1,4412.765,288,1,24.95032,121.49587,BrDale,Attchd,17.4
2013.333,39.7,333.3679,308,9,24.98016,121.53932,CollgCr,Attchd,32.4
2013.25,8,2216.612,440,4,24.96007,121.51361,Gilbert,BuiltIn,23.9
2012.75,12.9,250.631,264,7,24.96606,121.54297,BrDale,Detchd,39.3
2013.167,3.6,373.8389,494,10,24.98322,121.53765,CollgCr,Attchd,61.9
2013.167,13,732.8528,457,0,24.97668,121.52518,SawyerW,Attchd,39
2013.083,12.8,732.8528,818,0,24.97668,121.52518,NridgHt,Attchd,40.6
2013.5,18.1,837.7233,220,0,24.96334,121.54767,Edwards,Detchd,29.7
2013.083,11,1712.632,750,2,24.96412,121.5167,Somerst,Attchd,28.8
2013.5,13.7,250.631,0,7,24.96606,121.54297,OldTown,NA,41.4
2012.833,2,2077.39,352,3,24.96357,121.51329,OldTown,Attchd,33.4
2013.417,32.8,204.1705,288,8,24.98236,121.53923,SawyerW,Attchd,48.2
2013.083,4.8,1559.827,463,3,24.97213,121.51627,SawyerW,Attchd,21.7
2013.417,7.5,639.6198,604,5,24.97258,121.54814,NWAmes,Attchd,40.8
2013.417,16.4,389.8219,440,6,24.96412,121.54273,OldTown,Detchd,40.6
2013.333,21.7,1055.067,451,0,24.96211,121.54928,NAmes,Attchd,23.1
2013,19,1009.235,500,0,24.96357,121.54951,CollgCr,Attchd,22.3
2012.833,18,6306.153,389,1,24.95743,121.47516,ClearCr,Attchd,15
2013.167,39.2,424.7132,0,7,24.97429,121.53917,BrkSide,NA,30
2012.917,31.7,1159.454,538,0,24.9496,121.53018,Crawfor,Attchd,13.8
2012.833,5.9,90.45606,520,9,24.97433,121.5431,SawyerW,Attchd,52.7
2012.667,30.4,1735.595,309,2,24.96464,121.51623,NAmes,Attchd,25.9
2012.667,1.1,329.9747,294,5,24.98254,121.54395,NAmes,Attchd,51.8
2013.417,31.5,5512.038,429,1,24.95095,121.48458,Gilbert,BuiltIn,17.4
2012.667,14.6,339.2289,673,1,24.97519,121.53151,Somerst,Attchd,26.5
2013.25,17.3,444.1334,660,1,24.97501,121.5273,CollgCr,Attchd,43.9
2013.417,0,292.9978,564,6,24.97744,121.54458,CollgCr,Attchd,63.3
2013.083,17.7,837.7233,308,0,24.96334,121.54767,OldTown,Detchd,28.8
2013.25,17,1485.097,884,4,24.97073,121.517,NAmes,Attchd,30.7
2013.167,16.2,2288.011,868,3,24.95885,121.51359,CollgCr,BuiltIn,24.4
2012.917,15.9,289.3248,492,5,24.98203,121.54348,Sawyer,Attchd,53
2013.417,3.9,2147.376,484,3,24.96299,121.51284,OldTown,Detchd,31.7
2013.167,32.6,493.657,504,7,24.96968,121.54522,OldTown,Detchd,40.6
2012.833,15.7,815.9314,576,4,24.97886,121.53464,NWAmes,Attchd,38.1
2013.25,17.8,1783.18,413,3,24.96731,121.51486,Gilbert,Attchd,23.7
2012.833,34.7,482.7581,240,5,24.97433,121.53863,SWISU,Detchd,41.1
2013.417,17.2,390.5684,924,5,24.97937,121.54245,IDOTRR,Detchd,40.1
2013,17.6,837.7233,504,0,24.96334,121.54767,Edwards,Attchd,23
2013.333,10.8,252.5822,1053,1,24.9746,121.53046,Somerst,Attchd,117.5
2012.917,17.7,451.6419,439,8,24.96945,121.5449,ClearCr,Attchd,26.5
2012.75,13,492.2313,671,5,24.96515,121.53737,NoRidge,Attchd,40.5
2013.417,13.2,170.1289,338,1,24.97371,121.52984,NAmes,Attchd,29.3
2013.167,27.5,394.0173,264,7,24.97305,121.53994,Mitchel,Attchd,41
2012.667,1.5,23.38284,672,7,24.96772,121.54102,BrkSide,Detchd,49.7
2013,19.1,461.1016,573,5,24.95425,121.5399,Mitchel,Attchd,34
2013.417,21.2,2185.128,400,3,24.96322,121.51237,Gilbert,Detchd,27.7
2012.75,0,208.3905,732,6,24.95618,121.53844,NridgHt,Attchd,44
2013.417,2.6,1554.25,505,3,24.97026,121.51642,ClearCr,Attchd,31.1
2013.25,2.3,184.3302,575,6,24.96581,121.54086,SawyerW,Attchd,45.4
2013.333,4.7,387.7721,572,9,24.98118,121.53788,Somerst,Attchd,44.8
2012.917,2,1455.798,626,1,24.9512,121.549,NridgHt,Attchd,25.6
2013.417,33.5,1978.671,898,2,24.98674,121.51844,Somerst,Attchd,23.5
2012.917,15,383.2805,529,7,24.96735,121.54464,SawyerW,Attchd,34.4
2013.167,30.1,718.2937,528,3,24.97509,121.53644,Somerst,Detchd,55.3
2012.917,5.9,90.45606,440,9,24.97433,121.5431,NAmes,Attchd,56.3
2013,19.2,461.1016,0,5,24.95425,121.5399,NAmes,NA,32.9
2013.583,16.6,323.6912,280,6,24.97841,121.5428,Sawyer,Detchd,51
2013.333,13.9,289.3248,384,5,24.98203,121.54348,BrkSide,Detchd,44.5
2013.083,37.7,490.3446,685,0,24.97217,121.53471,CollgCr,Attchd,37
2012.833,3.4,56.47425,0,7,24.95744,121.53711,SWISU,NA,54.4
2013.083,17.5,395.6747,281,5,24.95674,121.534,Edwards,Attchd,24.5
2012.667,12.6,383.2805,539,7,24.96735,121.54464,NWAmes,Attchd,42.5
2013.5,26.4,335.5273,418,6,24.9796,121.5414,NAmes,Attchd,38.1
2013.167,18.2,2179.59,588,3,24.96299,121.51252,Mitchel,Detchd,21.8
2012.75,12.5,1144.436,282,4,24.99176,121.53456,IDOTRR,Attchd,34.1
2012.833,34.9,567.0349,576,4,24.97003,121.5458,Somerst,Detchd,28.5
2013.333,16.7,4082.015,539,0,24.94155,121.50381,NWAmes,Attchd,16.7
2013.167,33.2,121.7262,300,10,24.98178,121.54059,Crawfor,Attchd,46.1
2013.083,2.5,156.2442,375,4,24.96696,121.53992,Crawfor,Attchd,36.9
2012.75,38,461.7848,683,0,24.97229,121.53445,CollgCr,BuiltIn,35.7
2013.5,16.5,2288.011,843,3,24.95885,121.51359,CollgCr,Attchd,23.2
2013.5,38.3,439.7105,552,0,24.97161,121.53423,CollgCr,Attchd,38.4
2013.417,20,1626.083,870,3,24.96622,121.51668,OldTown,Attchd,29.4
2013.083,16.2,289.3248,888,5,24.98203,121.54348,CollgCr,Attchd,55
2013.5,14.4,169.9803,746,1,24.97369,121.52979,SawyerW,Attchd,50.2
2012.833,10.3,3079.89,0,0,24.9546,121.56627,IDOTRR,NA,24.7
2013.417,16.4,289.3248,539,5,24.98203,121.54348,Edwards,Detchd,53
2013.25,30.3,1264.73,708,0,24.94883,121.52954,NridgHt,Attchd,19.1
2013.583,16.4,1643.499,420,2,24.95394,121.55174,Gilbert,Attchd,24.7
2013.167,21.3,537.7971,240,4,24.97425,121.53814,NAmes,Detchd,42.2
2013.583,35.4,318.5292,410,9,24.97071,121.54069,OldTown,Detchd,78
2013.333,8.3,104.8101,513,5,24.96674,121.54067,Timber,Attchd,42.8
2013.25,3.7,577.9615,546,6,24.97201,121.54722,OldTown,Detchd,41.6
2013.083,15.6,1756.411,432,2,24.9832,121.51812,Gilbert,Attchd,27.3
2013.25,13.3,250.631,484,7,24.96606,121.54297,NWAmes,Attchd,42
2012.75,15.6,752.7669,1025,2,24.97795,121.53451,Somerst,Attchd,37.5
2013.333,7.1,379.5575,656,10,24.98343,121.53762,NoRidge,Attchd,49.8
2013.25,34.6,272.6783,588,5,24.95562,121.53872,NWAmes,Attchd,26.9
2012.75,13.5,4197.349,840,0,24.93885,121.50383,NridgHt,Attchd,18.6
2012.917,16.9,964.7496,872,4,24.98872,121.53411,NridgHt,BuiltIn,37.7
2013,12.9,187.4823,576,1,24.97388,121.52981,SawyerW,Attchd,33.1
2013.417,28.6,197.1338,220,6,24.97631,121.54436,OldTown,Attchd,42.5
2012.667,12.4,1712.632,564,2,24.96412,121.5167,NAmes,BuiltIn,31.3
2013.083,36.6,488.8193,360,8,24.97015,121.54494,IDOTRR,Detchd,38.1
2013.5,4.1,56.47425,473,7,24.95744,121.53711,Veenker,Attchd,62.1
2013.417,3.5,757.3377,292,3,24.97538,121.54971,NAmes,Attchd,36.7
2012.833,15.9,1497.713,441,3,24.97003,121.51696,BrkSide,Detchd,23.6
2013,13.6,4197.349,189,0,24.93885,121.50383,IDOTRR,Detchd,19.2
2013.083,32,1156.777,352,0,24.94935,121.53046,NAmes,Detchd,12.8
